xpos,yvalue
1,11.495966693129862
2,11.905724498255328
3,13.745537924586964
4,13.803962320624086
5,14.327270758348492
6,14.36986863316218
7,14.566131208402933
8,14.59820059953621
9,14.788267105229643
10,15.311372730706267
11,15.718094690078237
12,15.90149745447138
13,17.920247563358465
14,17.92977247644217
15,18.204054914340677
16,18.360753777999225
17,18.764614010189202
18,18.80317807957786
19,19.039476118585327
20,19.122564813792515
21,19.20638006225504
22,19.23810180025258
23,19.28954496431738
24,19.360574722826666
25,19.366818335511148
26,19.372532409363522
27,19.394141200866535
28,19.43098440480654
29,19.56064713956725
30,19.7947994372064
31,19.822178279624584
32,19.89070289619868
33,19.98385190305946
34,20.012065895642923
35,20.02400732298263
36,20.030254391576953
37,20.094066162659644
38,20.120008737452242
39,20.17966387882781
40,20.22484551462787
41,20.23140501355643
42,20.26417551221234
43,20.306297054350644
44,20.50321533941096
45,20.543197603917207
46,20.75085028003023
47,21.09459162392305
48,21.133920511572196
49,21.207876378363952
50,21.274628917050016
51,21.316202687927962
52,21.32516590525713
53,21.35968008041325
54,21.48662741453534
55,21.51967541190737
56,21.57717583140367
57,21.590367834550655
58,21.649325526077977
59,21.701284074620695
60,21.781135926423225
61,21.81235065737706
62,21.83074417165473
63,21.89392428643326
64,21.898807012911597
65,21.95110701263763
66,22.036642635878998
67,22.119218266066703
68,22.172719102922986
69,22.17963704002608
70,22.23880731673856
71,22.247254147955864
72,22.26177596731791
73,22.285304635276482
74,22.29487734565284
75,22.39536262512546
76,22.50606722392858
77,22.542475738658947
78,22.58899815876122
79,22.77959674056992
80,22.810309432701544
81,22.923330412263162
82,22.935796361169825
83,22.935922989239703
84,22.936836818092743
85,23.17911737486158
86,23.186129891278647
87,23.334186644254412
88,23.45103947902414
89,23.46226298884966
90,23.572681941341607
91,23.59102779346167
92,23.625022977900755
93,23.661420508593416
94,23.7115889531535
95,23.71907006150094
96,23.79772709889668
97,23.866458688039415
98,23.866704150020546
99,23.874058171078385
100,23.89356337153292
101,23.901083164012498
102,23.98237376190299
103,24.026047758026174
104,24.065647892183737
105,24.08703950977133
106,24.4020691408139
107,24.492797028335083
108,24.543319693903562
109,24.546212733631407
110,24.551993751824774
111,24.606397705099088
112,24.616072893834833
113,24.63833720453982
114,24.842595400619935
115,25.00520256542093
116,25.027335072931276
117,25.196223663431027
118,25.395915940522045
119,25.41546066354038
120,25.58646147826944
121,25.678687872940714
122,25.684989571884174
123,25.697683161577455
124,25.70208131786794
125,25.753197193573136
126,25.79012967752373
127,25.81819866100276
128,25.82467682635467
129,25.83098323714779
130,25.843790448811532
131,25.856536769759902
132,25.878839708259793
133,25.90231429202828
134,25.931556344240928
135,25.934777894334374
136,25.969241667262253
137,26.00064280963913
138,26.039532963322067
139,26.07298277676537
140,26.07333681897526
141,26.085338814628095
142,26.096731351565417
143,26.137911351551423
144,26.140492760009614
145,26.14771637804482
146,26.153230733724342
147,26.156726226626652
148,26.164777076589488
149,26.197828612679967
150,26.2099006166949
151,26.30027333114389
152,26.358393478004018
153,26.411649888527855
154,26.46745140795523
155,26.61322813914982
156,26.644183216141556
157,26.651779653381695
158,26.718040209450656
159,26.906147796744484
160,26.917835389783274
161,27.049354999873202
162,27.092955230992345
163,27.150171379922288
164,27.19336945049106
165,27.337738849761468
166,27.37188498998757
167,27.44161971681507
168,27.55138945195833
169,27.561486601967946
170,27.59106658372628
171,27.63431576537147
172,27.663489948402137
173,27.79673897464951
174,27.8177472877602
175,27.828968739679375
176,27.885789395620346
177,27.973640539559014
178,27.995650817847867
179,28.050583149666302
180,28.069535788356625
181,28.164683560313307
182,28.318812017427852
183,28.3248258678832
184,28.329987541517333
185,28.398926268521034
186,28.44291167058691
187,28.4917277104638
188,28.567279661559404
189,28.611473629451236
190,28.623506814227294
191,28.63696367477602
192,28.662905858186612
193,28.717238513836456
194,28.825614190856772
195,28.83257628033278
196,29.019038294326215
197,29.05784801666171
198,29.063499845010732
199,29.076813906599668
200,29.128842212820235
201,29.13172741953683
202,29.143278020349285
203,29.21858787489971
204,29.495495948209292
205,29.555489189326927
206,29.59196661150015
207,29.60048475334741
208,29.6203464864493
209,29.626104364997694
210,29.71118127625317
211,29.852637978168946
212,29.915178730594096
213,29.928708575683064
214,29.936473729269146
215,29.948489498509883
216,30.02093247028551
217,30.05761644619239
218,30.07714197495265
219,30.080719479234013
220,30.100619541528076
221,30.124068357914666
222,30.150136156123843
223,30.211686190500334
224,30.221776160583893
225,30.302969463824144
226,30.329875091904952
227,30.419781379887834
228,30.421324572236212
229,30.44410678232845
230,30.52968377250821
231,30.54644119097709
232,30.610902895627703
233,30.714532828360106
234,30.732647838748687
235,30.86358556800792
236,30.907629934022253
237,30.92015682329425
238,30.955600801971194
239,30.96169182998348
240,31.073179836853857
241,31.09090070666759
242,31.251792895654297
243,31.262204188955348
244,31.319942205392568
245,31.338518985739512
246,31.35218633503792
247,31.378256717646018
248,31.38309464721202
249,31.502369611033075
250,31.51437003584228
251,31.51833726831597
252,31.655925482866756
253,31.68374305801691
254,31.74393060168086
255,31.799516780590892
256,31.83274968980641
257,31.838676020737108
258,31.844224827154143
259,31.862268390567962
260,31.863380253423685
261,31.886670313584272
262,31.90564599524717
263,32.025242689207225
264,32.03402618552099
265,32.0399950878099
266,32.04830437668793
267,32.10026811783504
268,32.10935923059046
269,32.14818746577247
270,32.24444159157407
271,32.24643568730353
272,32.298213563643074
273,32.37516773368888
274,32.451235605581104
275,32.45314071107962
276,32.47206959694529
277,32.54976342513907
278,32.56187368058742
279,32.65077694868049
280,32.65214730898089
281,32.6876636966601
282,32.79382435758863
283,32.80097354919598
284,32.85405998153389
285,32.886911249346255
286,32.88998152549728
287,32.95636240715051
288,32.992152712910034
289,32.99480738225904
290,33.119337555045306
291,33.13687611324545
292,33.13906314503194
293,33.18360206158389
294,33.285647802844494
295,33.31442257713345
296,33.322916497596964
297,33.32469103916034
298,33.331193981458696
299,33.453898708887536
300,33.49127441384634
301,33.57479414039908
302,33.66543271624407
303,33.721623287827704
304,33.819392892960444
305,34.113962862542934
306,34.11987722954525
307,34.224631335705794
308,34.24265356009707
309,34.44573623448654
310,34.487016000329255
311,34.797529172491124
312,34.85034701368937
313,34.93099610612945
314,35.006154278469296
315,35.105044932934945
316,35.13779687676526
317,35.18099880691851
318,35.20890652448859
319,35.21984588862822
320,35.29466655152214
321,35.32682703551895
322,35.335396577256645
323,35.706538819349525
324,35.76677513281042
325,35.84163703010243
326,35.944328089570796
327,35.95535998046179
328,35.97578716047049
329,35.98774662219857
330,36.103551272863676
331,36.2027086944383
332,36.249179978938606
333,36.3896177511052
334,36.394871661472735
335,36.44196526958797
336,36.44983582533856
337,36.491679866475806
338,36.58858410273504
339,36.71350882950229
340,36.74020359234707
341,36.74383846673625
342,36.752686201278536
343,36.828243260815405
344,36.90166625223541
345,36.918735884948134
346,36.982537438326624
347,37.082936801781166
348,37.099766485375
349,37.236474900331615
350,37.24793094951436
351,37.60023240284718
352,37.798536868859216
353,37.82897019609307
354,37.85836336362294
355,37.87010767903112
356,37.88121710762971
357,38.0675114160629
358,38.116613655543
359,38.262233759014904
360,38.36882322311186
361,38.53121811264352
362,38.633770218386246
363,38.668633033304616
364,38.677132296641275
365,38.71652991793249
366,38.82085818571508
367,39.081152100941225
368,39.13027658797179
369,39.14329457449278
370,39.22333824653084
371,39.31036020620911
372,39.38555257092233
373,39.42183169065452
374,39.51584176695844
375,39.62211571013205
376,39.652976089520834
377,39.6568368661681
378,39.667307233614395
379,39.79863225700923
380,39.81073199256368
381,40.276220465024586
382,40.28373370221402
383,40.28927975691552
384,40.290803098461495
