xpos,yvalue
107,24.492797028335083
110,24.551993751824774
186,28.44291167058691
187,28.4917277104638
222,30.150136156123843
223,30.211686190500334
237,30.92015682329425
239,30.96169182998348
309,34.44573623448654
310,34.487016000329255
315,35.105044932934945
321,35.32682703551895
324,35.76677513281042
330,36.103551272863676
331,36.2027086944383
335,36.44196526958797
338,36.58858410273504
339,36.71350882950229
342,36.752686201278536
345,36.918735884948134
347,37.082936801781166
348,37.099766485375
353,37.82897019609307
354,37.85836336362294
368,39.13027658797179
372,39.38555257092233
373,39.42183169065452
375,39.62211571013205
377,39.6568368661681
379,39.79863225700923
381,40.276220465024586
382,40.28373370221402
