xpos,yvalue
5,14.327270758348492
6,14.36986863316218
11,15.718094690078237
12,15.90149745447138
17,18.764614010189202
18,18.80317807957786
34,20.012065895642923
38,20.120008737452242
47,21.09459162392305
48,21.133920511572196
53,21.35968008041325
54,21.48662741453534
56,21.57717583140367
57,21.590367834550655
59,21.701284074620695
66,22.036642635878998
78,22.58899815876122
79,22.77959674056992
90,23.572681941341607
92,23.625022977900755
104,24.065647892183737
106,24.4020691408139
109,24.546212733631407
112,24.616072893834833
122,25.684989571884174
126,25.79012967752373
127,25.81819866100276
132,25.878839708259793
136,25.969241667262253
139,26.07298277676537
142,26.096731351565417
145,26.14771637804482
153,26.411649888527855
154,26.46745140795523
164,27.19336945049106
171,27.63431576537147
194,28.825614190856772
195,28.83257628033278
205,29.555489189326927
215,29.948489498509883
219,30.080719479234013
221,30.124068357914666
226,30.329875091904952
227,30.419781379887834
241,31.09090070666759
243,31.262204188955348
246,31.35218633503792
248,31.38309464721202
250,31.51437003584228
252,31.655925482866756
253,31.68374305801691
254,31.74393060168086
255,31.799516780590892
258,31.844224827154143
259,31.862268390567962
262,31.90564599524717
267,32.10026811783504
268,32.10935923059046
271,32.24643568730353
272,32.298213563643074
274,32.451235605581104
278,32.56187368058742
295,33.31442257713345
298,33.331193981458696
