xpos,yvalue
61,21.81235065737706
67,22.119218266066703
93,23.661420508593416
99,23.874058171078385
130,25.843790448811532
138,26.039532963322067
147,26.156726226626652
150,26.2099006166949
175,27.828968739679375
176,27.885789395620346
184,28.329987541517333
185,28.398926268521034
199,29.076813906599668
202,29.143278020349285
211,29.852637978168946
212,29.915178730594096
244,31.319942205392568
245,31.338518985739512
275,32.45314071107962
292,33.13906314503194
299,33.453898708887536
300,33.49127441384634
301,33.57479414039908
302,33.66543271624407
305,34.113962862542934
307,34.224631335705794
311,34.797529172491124
314,35.006154278469296
316,35.13779687676526
317,35.18099880691851
318,35.20890652448859
319,35.21984588862822
320,35.29466655152214
322,35.335396577256645
323,35.706538819349525
325,35.84163703010243
326,35.944328089570796
327,35.95535998046179
328,35.97578716047049
329,35.98774662219857
332,36.249179978938606
333,36.3896177511052
336,36.44983582533856
337,36.491679866475806
341,36.74383846673625
346,36.982537438326624
352,37.798536868859216
355,37.87010767903112
357,38.0675114160629
358,38.116613655543
359,38.262233759014904
360,38.36882322311186
361,38.53121811264352
362,38.633770218386246
363,38.668633033304616
364,38.677132296641275
367,39.081152100941225
371,39.31036020620911
374,39.51584176695844
376,39.652976089520834
378,39.667307233614395
380,39.81073199256368
383,40.28927975691552
384,40.290803098461495
